Code, Year, Type, File Name, Author - Title, URL
BSD - SLT, 1884, Short-story, Delavrancea_Sultanica.txt, 'Barbu Ştefănescu Delavrancea - Sultănica', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/sultanica.html'
BSD - SNT, ?, Short-story, Delavrancea_Sentino.txt, 'Barbu Ştefănescu Delavrancea - Sentino', 'https://ro.wikisource.org/wiki/Sentino'
BSD - SRC, 1885, Short-story, Delavrancea_Sorcova.txt, 'Barbu Ştefănescu Delavrancea - Sorcova', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/sorcova.html'
BSD - STOD, 1909, Fairy-tale, Delavrancea_StapaneaOdata.txt, 'Barbu Ştefănescu Delavrancea - Stăpânea odată', 'https://povesti-ro.weebly.com/stapanea-odata-barbu-stefanescu-delavrancea.html'
BSD - SUN, ?, Short-story, Delavrancea_Susana.txt, 'Barbu Ştefănescu Delavrancea - Susana', 'https://ro.wikisource.org/wiki/Susana'
BSD - TDR, 1886, Short-story, Delavrancea_Trubadurul.txt, 'Barbu Ştefănescu Delavrancea - Trubadurul', 'https://ro.wikisource.org/wiki/Trubadurul'
BSD - VCT, ?, Short-story, Delavrancea_Vacantie.txt, 'Barbu Ştefănescu Delavrancea - Vacanție...', 'https://ro.wikisource.org/wiki/Vacan%C8%9Bie...'
BSD - VDL, ?, Short-story, Delavrancea_Vaduvele.txt, 'Barbu Ştefănescu Delavrancea - Văduvele', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/vaduvele.html'
BSD - ZBE, ?, Short-story, Delavrancea_Zobie.txt, 'Barbu Ştefănescu Delavrancea - Zobie', 'https://ro.wikisource.org/wiki/Zobie'
BSD - ZZG, ?, Short-story, Delavrancea_Zigzag.txt, 'Barbu Ştefănescu Delavrancea - Zigzag', 'https://ro.wikisource.org/wiki/Zigzag'
EG - CALL, 1910, Short-story, Garleanu_Calul.txt, 'Emil Gârleanu - Calul', 'https://povesti-ro.weebly.com/calul-povestede-emil-garleanu.html'
EG - CCCC, 1910, Short-story, Garleanu_CiocCiocCioc.txt, 'Emil Gârleanu - ​Cioc! cioc! cioc!', 'https://povesti-ro.weebly.com/cioc-poveste-de-emil-garleanu.html'
EG - CCSL, 1910, Short-story, Garleanu_Cocosul.txt, 'Emil Gârleanu - Cocoșul', 'https://povesti-ro.weebly.com/cocosul-poveste-de-emil-garleanu.html'
EG - CDDR, 1907, Short-story, Garleanu_CeaDintaiDurere.txt, 'Emil Gârleanu - Cea dintâi durere', 'https://ro.wikisource.org/wiki/Cea_dint%C3%A2i_durere'
EG - CLTR, 1910, Short-story, Garleanu_​Calatoare.txt, 'Emil Gârleanu - ​Călătoare! ...', 'https://povesti-ro.weebly.com/calatoare-poveste-de-emil-garleanu.html'
EG - CNTR, 1910, Short-story, Garleanu_Cantaretul.txt, 'Emil Gârleanu - Cântărețul', 'https://povesti-ro.weebly.com/cantaretul---poveste-de-emil-garleanu.html'
EG - COMR, 1915, Short-story, Garleanu_Comoara.txt, 'Emil Gârleanu - Comoara', 'https://ro.wikisource.org/wiki/Comoara_(G%C3%A2rleanu)'
EG - CPRR, 1910, Short-story, Garleanu_Caprioara.txt, 'Emil Gârleanu - ​Căprioara', 'https://povesti-ro.weebly.com/caprioara-emil-garleanu.html'
EG - CSNA, 1910, Short-story, Garleanu_CandStapanulNuIAcasa.txt, 'Emil Gârleanu - Când stăpânul nu-i acasă!', 'https://povesti-ro.weebly.com/cand-stapanul-nu-i-acasa-poveste-de-emil-garleanu.html'
EG - CSRL, 1910, Short-story, Garleanu_CaSoarele.txt, 'Emil Gârleanu - Ca soarele!', 'https://povesti-ro.weebly.com/ca-soarele-povestede-emil-garleanu.html'
EG - CUFN, 1910, Short-story, Garleanu_CatUnFirDeNeghina.txt, 'Emil Gârleanu - Cât un fir de neghină', 'https://povesti-ro.weebly.com/cat-un-fir-de-neghina-povestede-emil-garleanu.html'
EG - DASL, 1910, Short-story, Garleanu_​DupaAsemanareaLor.txt, 'Emil Gârleanu - ​După asemănarea lor!', 'https://povesti-ro.weebly.com/dupa-asemanarea-lor-poveste-de-emil-garleanu.html'
EG - FLZF, 1910, Short-story, Garleanu_Filozoful.txt, 'Emil Gârleanu - ​Filozoful', 'https://povesti-ro.weebly.com/filozoful-poveste-de-emil-garleanu.html'
EG - FRCS, 1910, Short-story, Garleanu_Fricosul.txt, 'Emil Gârleanu - ​Fricosul', 'https://povesti-ro.weebly.com/fricosul-poveste-de-emil-garleanu.html'
EG - FRNC, 1908, Short-story, Garleanu_Furnica.txt, 'Emil Gârleanu - Furnica', 'https://ro.wikisource.org/wiki/Furnica'
EG - FRNZ, 1910, Short-story, Garleanu_Frunza.txt, 'Emil Gârleanu - ​Frunza', 'https://povesti-ro.weebly.com/frunza-poveste-de-emil-garleanu.html'
EG - GAZA, 1910, Short-story, Garleanu_Gaza.txt, 'Emil Gârleanu - ​Gâza', 'https://povesti-ro.weebly.com/gaza-poveste-de-emil-garleanu.html'
EG - GNDC, 1910, Short-story, Garleanu_Gandacelul.txt, 'Emil Gârleanu - ​Gândăcelul', 'https://povesti-ro.weebly.com/gandacelul-poveste-de-emil-garleanu.html'
EG - GRVE, 1910, Short-story, Garleanu_Grivei.txt, 'Emil Gârleanu - ​Grivei', 'https://povesti-ro.weebly.com/grivei-poveste-de-emil-garleanu.html'
EG - HINR, 1910, Short-story, Garleanu_Hoinar.txt, 'Emil Gârleanu - Hoinar', 'https://povesti-ro.weebly.com/hoinar-poveste-de-emil-garleanu.html'
EG - ICTM, 1910, Short-story, Garleanu_InCurteaMea.txt, 'Emil Gârleanu - ​În curtea mea', 'https://povesti-ro.weebly.com/in-curtea-mea-poveste-de-emil-garleanu.html'
EG - IFFF, 1910, Short-story, Garleanu_InFelDeFelDeFete.txt, 'Emil Gârleanu - În fel de fel de fețe', 'https://povesti-ro.weebly.com/in-fel-de-fel-de-fete-poveste-de-emil-garleanu.html'
EG - LPTR, 1910, Short-story, Garleanu_Luptatorii.txt, 'Emil Gârleanu - Luptătorii', 'https://povesti-ro.weebly.com/luptatorii-poveste-de-emil-garleanu.html'
EG - MMLS, 1908, Short-story, Garleanu_OmMilostiv.txt, 'Emil Gârleanu - Om milostiv', 'https://ro.wikisource.org/wiki/Om_milostiv'
EG - MRNM, 1910, Short-story, Garleanu_Marinimie.txt, 'Emil Gârleanu - Mărinimie', 'https://povesti-ro.weebly.com/marinimie-poveste-de-emil-garleanu.html'
EG - MSCL, 1910, Short-story, Garleanu_​Musculita.txt, 'Emil Gârleanu - ​Musculița', 'https://povesti-ro.weebly.com/musculita-poveste-de-emil-garleanu.html'
EG - MSFR, 1910, Short-story, Garleanu_Musafirul.txt, 'Emil Gârleanu - Musafirul', 'https://povesti-ro.weebly.com/musafirul-poveste-de-emil-garleanu.html'
EG - MSGL, 1915, Short-story, Garleanu_MesterulDeOglinzi.txt, 'Emil Gârleanu - Meșterul de oglinzi', 'https://ro.wikisource.org/wiki/Me%C8%99terul_de_oglinzi'
EG - MSUS, 1910, Short-story, Garleanu_​MaiSus.txt, 'Emil Gârleanu - ​Mai sus!', 'https://povesti-ro.weebly.com/mai-sus-poveste-de-emil-garleanu.html'
EG - NDSP, 1910, Short-story, Garleanu_​Nedespartite.txt, 'Emil Gârleanu - ​Nedespărțite! ...', 'https://povesti-ro.weebly.com/nedespartite-poveste-de-emil-garleanu.html'
EG - ORAZ, 1910, Short-story, Garleanu_​ORaza.txt, 'Emil Gârleanu - ​O rază', 'https://povesti-ro.weebly.com/o-raza-poveste-de-emil-garleanu.html'
EG - PNGA, 1908, Short-story, Garleanu_Punga.txt, 'Emil Gârleanu - Punga', 'https://ro.wikisource.org/wiki/Punga'
EG - PRMV, 1908, Short-story, Garleanu_Primavara.txt, 'Emil Gârleanu - Primăvara!', 'https://ro.wikisource.org/wiki/Prim%C4%83vara!'
EG - PRST, 1910, Short-story, Garleanu_Parasita.txt, 'Emil Gârleanu - Părăsită', 'https://povesti-ro.weebly.com/parasita-poveste-de-emil-garleanu.html'
EG - PSDN, 1910, Short-story, Garleanu_PasareDeNoapte.txt, 'Emil Gârleanu - Pasăre de noapte', 'https://povesti-ro.weebly.com/pasare-de-noapte-poveste-de-emil-garleanu.html'
EG - SNGC, 1910, Short-story, Garleanu_Singuraticii.txt, 'Emil Gârleanu - Singuraticii', 'https://povesti-ro.weebly.com/singuraticii-poveste-de-emil-garleanu.html'
EG - SRCT, 1910, Short-story, Garleanu_Saracutul.txt, 'Emil Gârleanu - Sărăcuțul! ...', 'https://povesti-ro.weebly.com/saracutul-poveste-de-emil-garleanu.html'
EG - SRTS, 1915, Short-story, Garleanu_Sortas.txt, 'Emil Gârleanu - Sorțaș', 'https://ro.wikisource.org/wiki/Sor%C8%9Ba%C8%99'
EG - TRDF, 1910, Short-story, Garleanu_Trandafirul.txt, 'Emil Gârleanu - Trandafirul', 'https://povesti-ro.weebly.com/trandafirul-poveste-de-emil-garleanu.html'
EG - TVRS, 1910, Short-story, Garleanu_Tovarasii.txt, 'Emil Gârleanu - Tovarășii', 'https://povesti-ro.weebly.com/tovarasii-poveste-de-emil-garleanu.html'
EG - UCGS, 1907, Short-story, Garleanu_Ucigasul.txt, 'Emil Gârleanu - Ucigașul', 'https://ro.wikisource.org/wiki/Uciga%C8%99ul'
EG - VNCL, 1910, Short-story, Garleanu_Voinicul.txt, 'Emil Gârleanu - Voinicul!', 'https://povesti-ro.weebly.com/voinicul-poveste-de-emil-garleanu.html'
EG - VTRL, 1910, Short-story, Garleanu_Vulturul.txt, 'Emil Gârleanu - Vulturul', 'https://povesti-ro.weebly.com/vulturul-poveste-de-emil-garleanu.html'
EP - AMNT, 2010-2017, Story, Plugaru_Amintirile.txt, 'Emilia Plugaru - Amintirile', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/amintirile.html'
EP - AVTP, 2010-2017, Story, Plugaru_AVenitPrimavara.txt, 'Emilia Plugaru - A venit Primăvara!', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/a-venit-primavara.html'
EP - BCHT, 2010-2017, Story, Plugaru_Buchet.txt, 'Emilia Plugaru - Buchet', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/buchet.html'
EP - BDSR, 2010-2017, Story, Plugaru_BobulDeSoare.txt, 'Emilia Plugaru - Bobul de Soare', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/bobul-de-soare.html'
EP - BNPU, 2010-2017, Story, Plugaru_BlanitaNeagra.txt, 'Emilia Plugaru - Blăniţă Neagră sau Povestea Ursuleţului Dănn', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/blanita-neagra.html'
EP - BTCM, 2010-2017, Story, Plugaru_BlestemulComorii.txt, 'Emilia Plugaru - Blestemul Comorii', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/blestemul-comorii.html'
EP - BTDP, 2010-2017, Story, Plugaru_BatranaDoamnaPadure.txt, 'Emilia Plugaru - Bătrâna doamnă Pădure…', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/batrana-doamna-padure.html'
EP - BTRG, 2010-2017, Story, Plugaru_Buturuga.txt, 'Emilia Plugaru - Buturugă', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/buturuga.html'
EP - BVFN, 2010-2017, Story, Plugaru_BroscutaVeruzaSiFloareaDeNufar.txt, 'Emilia Plugaru - Broscuţa Veruza şi floarea de nufăr', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/broscuta-veruza-si-floarea-de-nufar.html'
EP - CDCR, 2010-2017, Story, Plugaru_CadoulDeCraciun.txt, 'Emilia Plugaru - Cadoul de Crăciun', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/cadoul-de-craciun.html'
EP - CDGG, 2010-2017, Story, Plugaru_CeleDouaGanganii.txt, 'Emilia Plugaru - Cele două gângănii', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/cele-doua-ganganii.html'
EP - CHPA, 2010-2017, Story, Plugaru_CrusHepSiPestisorulDeAur.txt, 'Emilia Plugaru - Crus, Hep şi peştişorul de Aur', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/crus-hep-si-pestisorul-de-aur.html'
EP - CLBT, 2010-2017, Story, Plugaru_CloscaBunicutei.txt, 'Emilia Plugaru - Cloşca bunicuţei', 'https://www.povesti-pentru-copii.com/emilia-plugaru.html'
EP - CLRL, 2010-2017, Story, Plugaru_Culorile.txt, 'Emilia Plugaru - Culorile', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/culorile.html'
EP - CLZB, 2010-2017, Story, Plugaru_CalutulZburator.txt, 'Emilia Plugaru - Căluţul zburător', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/calutul-zburator.html'
EP - CRTL, 2010-2017, Story, Plugaru_Cornitele.txt, 'Emilia Plugaru - Corniţele', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/cornitele.html'
EP - DABN, 2010-2017, Story, Plugaru_DeAleBuneilor.txt, 'Emilia Plugaru - De-ale buneilor', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/de-ale-buneilor.html'
EP - DFLG, 2010-2017, Story, Plugaru_DesagaCuFulgi.txt, 'Emilia Plugaru - Desaga cu fulgi', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/desaga-cu-fulgi.html'
EP - FFDC, 2010-2017, Story, Plugaru_FetitaCuFunditeDesprinseDinCer.txt, 'Emilia Plugaru - Fetiţa cu fundiţe desprinse din cer', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/fetita-cu-fundite-desprinse-din-cer.html'
EP - FRCJ, 2010-2017, Story, Plugaru_FrunzaCurajoasa.txt, 'Emilia Plugaru - Frunza curajoasă', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/frunza-curajoasa.html'
EP - GVGN, 2010-2017, Story, Plugaru_GhetuteleVechiSiGhetuteleNoi.txt, 'Emilia Plugaru - Ghetuţele vechi şi ghetuţele noi', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/ghetutele-vechi-si-ghetutele-noi.html'
EP - HAHA, 2010-2017, Story, Plugaru_HauHau.txt, 'Emilia Plugaru - Hau-Hau', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/hau-hau.html'
EP - IMPB, 2010-2017, Story, Plugaru_ImpăratulCelBun.txt, 'Emilia Plugaru - Împăratul cel bun', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/imparatul-cel-bun.html'
EP - MADP, 2010-2017, Story, Plugaru_MamaAdoptiva.txt, 'Emilia Plugaru - Mama adoptivă', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/mama-adoptiva.html'
EP - MCNS, 2010-2017, Story, Plugaru_Mincinosul.txt, 'Emilia Plugaru - Mincinosul', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/mincinosul.html'
EP - MPUS, 2010-2017, Story, Plugaru_MicaPasareUriasa.txt, 'Emilia Plugaru - Mica Pasăre-Uriaşă', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/mica-pasare-uriasa.html'
EP - MRCT, 2010-2017, Story, Plugaru_MareaCompetitie.txt, 'Emilia Plugaru - Marea Competiţie', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/marea-competitie.html'
EP - MRPT, 2010-2017, Story, Plugaru_MarelePictor.txt, 'Emilia Plugaru - Marele Pictor', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/marele-pictor.html'
EP - MTSR, 2010-2017, Story, Plugaru_Martisorul.txt, 'Emilia Plugaru - Mărţişorul', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/martisorul.html'
EP - NSSN, 2010-2017, Story, Plugaru_NourasulSiniliu.txt, 'Emilia Plugaru - Nouraşul siniliu', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/nourasul-siniliu.html'
EP - OODP, 2010-2017, Story, Plugaru_OrasulCuOchiiDePloaie.txt, 'Emilia Plugaru - Oraşul cu ochii de ploaie', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/orasul-cu-ochii-de-ploaie.html'
EP - PADP, 2010-2017, Story, Plugaru_AdevaratulPrieten.txt, 'Emilia Plugaru - Povestea unui Adevărat Prieten', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/adevaratul-prieten.html'
EP - PCRF, 2010-2017, Story, Plugaru_PovesteaCreionasuluiFermecat.txt, 'Emilia Plugaru - Povestea Creionaşului fermecat', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/povestea-creionasului-fermecat.html'
EP - PLCT, 2010-2017, Story, Plugaru_PisicutaLuluSiCatelulTagan.txt, 'Emilia Plugaru - Pisicuţa Lulu şi căţelul Ţâgan', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/pisicuta-lulu-si-catelul-tigan.html'
EP - PVBT, 2010-2017, Story, Plugaru_PuiulDeVrabiuta.txt, 'Emilia Plugaru - Puiul de Vrăbiuţă', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/puiul-de-vrabiuta.html'
EP - RTMC, 2010-2017, Story, Plugaru_RatuscaMaca.txt, 'Emilia Plugaru - Răţuşca Maca', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/ratusca-maca.html'
EP - TLSC, 2010-2017, Story, Plugaru_Telescopul.txt, 'Emilia Plugaru - Telescopul', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/telescopul.html'
EP - URMG, 2010-2017, Story, Plugaru_UrechiuseleMagarusului.txt, 'Emilia Plugaru - Urechiuşele Măgăruşului', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/urechiusele-magarusului.html'
EP - VLTG, 2010-2017, Story, Plugaru_VisulLuiTigrut.txt, 'Emilia Plugaru - Visul lui Tigruţ', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/visul-lui-tigrut.html'
EP - VZDV, 2010-2017, Story, Plugaru_VanzatorulDeVise.txt, 'Emilia Plugaru - Vânzătorul de vise', 'https://www.povesti-pentru-copii.com/povesti-pt-copii-mici/vanzatorul-de-vise.html'
IC - ACSB, 1874, Short-story, Creanga_AculSiBarosul.txt, 'Ion Creangă - Acul şi barosul', 'https://www.povesti-pentru-copii.com/ion-creanga/acul-si-barosul.html'
IC - AMC1, 1880-1881, Novel-autobiographical, Creanga_AmintiriDinCopilarie_1.txt, 'Ion Creangă - Amintiri din copilărie I ', 'https://www.povesti-pentru-copii.com/ion-creanga/amintiri-din-copilarie-I.html'
IC - AMC2, 1880-1881, Novel-autobiographical, Creanga_AmintiriDinCopilarie_2.txt, 'Ion Creangă - Amintiri din copilărie II ', 'https://www.povesti-pentru-copii.com/ion-creanga/amintiri-din-copilarie-II.html'
IC - AMC3, 1880-1881, Novel-autobiographical, Creanga_AmintiriDinCopilarie_3.txt, 'Ion Creangă - Amintiri din copilărie III ', 'https://www.povesti-pentru-copii.com/ion-creanga/amintiri-din-copilarie-III.html'
IC - AMC4, 1880-1881, Novel-autobiographical, Creanga_AmintiriDinCopilarie_4.txt, 'Ion Creangă - Amintiri din copilărie IV ', 'https://www.povesti-pentru-copii.com/ion-creanga/amintiri-din-copilarie-IV.html'
IC - CCTI, 1875, Story, Creanga_CapraCuTreiIezi.txt, 'Ion Creangă - Capra cu trei iezi', 'https://www.povesti-pentru-copii.com/ion-creanga/capra-cu-trei-iezi.html'
IC - CNPN, 1883, Short-story, Creanga_CinciPaini.txt, 'Ion Creangă - Cinci pâini', 'https://www.povesti-pentru-copii.com/ion-creanga/cinci-paini.html'
IC - DNPR, 1876, Story, Creanga_DanilaPrepeleac.txt, 'Ion Creangă - Dănilă Prepeleac', 'https://www.povesti-pentru-copii.com/ion-creanga/danila-prepeleac.html'
IC - FBFM, 1877, Story, Creanga_FataBabeiSiFataMosneagului.txt, 'Ion Creangă - Fata babei şi fata moşneagului', 'https://www.povesti-pentru-copii.com/ion-creanga/fata-babei-si-fata-mosneagului.html'
IC - FFFI, 1898, Story, Creanga_FatFrumosFiulIepei.txt, 'Ion Creangă - Făt Frumos, fiul iepei', 'https://ro.wikisource.org/wiki/F%C4%83t_Frumos,_fiul_iepei'
IC - FRAB, 1890, Novel-autobiographical, Creanga_FragmentDeAutobiografie.txt, 'Ion Creangă - Fragment de autobiografie', 'https://ro.wikisource.org/wiki/Fragment_de_autobiografie'
IC - IRCV, 1883, Short-story, Creanga_IonRoataSiCuzaVoda.txt, 'Ion Creangă - Ion Roată şi Cuza-Vodă', 'https://www.povesti-pentru-copii.com/ion-creanga/ion-roata-si-cuza-voda.html'
IC - ISCS, 1874, Short-story, Creanga_InulSiCamesa.txt, 'Ion Creangă - Inul şi cămeşa', 'https://www.povesti-pentru-copii.com/ion-creanga/inul-si-camesa.html'
